data,model,seq_len,pred_len,lr,mse,mae,mape,msmape,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout
ETTh1,tsmixer,336,192,0.0005,0.5826900601387024,0.5594881176948547,1198.0926513671875,82.77136993408203,0.9573872685432434,0.6779738664627075,0.4394405782222748,0.48609474301338196,142.88754034042358,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.001,0.5879449844360352,0.5592782497406006,1343.0399169921875,85.26780700683594,0.9609335064888,0.6761524081230164,0.4317384362220764,0.4813390374183655,127.09045791625977,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.005,0.5904449820518494,0.5727277994155884,1385.413330078125,86.97371673583984,0.968431293964386,0.6760115623474121,0.6810418963432312,0.571677029132843,79.40185523033142,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.0001,0.7066090106964111,0.6269974112510681,2034.680908203125,92.708251953125,1.0164958238601685,0.7043893337249756,0.41122105717658997,0.4766111373901367,208.31749391555786,L,relu,4,0.05
ETTh1,tsmixer,336,192,0.0001,0.6473315358161926,0.5948778390884399,1792.4815673828125,88.57449340820312,0.9992493987083435,0.6944000124931335,0.41915395855903625,0.48049676418304443,185.46397280693054,L,relu,4,0.1
ETTh1,tsmixer,336,192,0.0001,0.5141857266426086,0.5100194811820984,986.4367065429688,74.1745834350586,0.9217833876609802,0.662145733833313,0.40695807337760925,0.46017858386039734,135.97824597358704,L,relu,4,0.5
weather,tsmixer,336,192,0.0001,0.2020549178123474,0.278532475233078,963.4022216796875,50.72486114501953,0.4348404109477997,0.33112168312072754,0.4373112916946411,0.3418089747428894,478.65752816200256,L,relu,2,0.3
weather,tsmixer,336,192,0.0001,0.19781802594661713,0.27051210403442383,827.7373657226562,48.76654815673828,0.4300355613231659,0.3299790918827057,0.4380550980567932,0.3450963795185089,1493.9158890247345,L,relu,6,0.3
weather,tsmixer,336,192,0.0001,0.19905602931976318,0.2715638279914856,833.5025024414062,48.93694305419922,0.4302925765514374,0.32771092653274536,0.44566622376441956,0.35181963443756104,1875.1645021438599,L,relu,8,0.3
weather,tsmixer,336,192,0.0001,0.19779062271118164,0.26744139194488525,938.14892578125,47.9400634765625,0.43388354778289795,0.33027657866477966,0.4257706105709076,0.332987517118454,1056.8381021022797,L,relu,4,0.3
weather,tsmixer,336,192,0.0001,0.19398054480552673,0.26411986351013184,838.715576171875,47.446998596191406,0.4294915199279785,0.3246859610080719,0.4406321346759796,0.3464163839817047,421.1832242012024,L,relu,4,0.3
weather,tsmixer,336,192,0.0001,0.20176906883716583,0.2761918604373932,853.7654418945312,50.13489532470703,0.4330155849456787,0.3329620361328125,0.42772138118743896,0.3387950360774994,525.6375648975372,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.0001,0.49923956394195557,0.4925883412361145,1039.052490234375,73.41002655029297,0.913877010345459,0.6618712544441223,0.3843151330947876,0.4501509964466095,66.87519431114197,L,relu,2,0.3
ETTh1,tsmixer,336,192,0.0001,0.6069517731666565,0.5676218271255493,1416.696044921875,85.63720703125,0.980224072933197,0.684647262096405,0.4071960151195526,0.46705031394958496,180.21938586235046,L,relu,6,0.3
ETTh1,tsmixer,336,192,0.0001,0.6760307550430298,0.6062304973602295,1553.092041015625,92.07115173339844,1.0037510395050049,0.6953122019767761,0.4304357171058655,0.4833660125732422,220.67551684379578,L,relu,8,0.3
ETTh1,tsmixer,336,192,0.0001,0.5718566179275513,0.5601596236228943,1088.5672607421875,84.07530212402344,0.973590075969696,0.6761157512664795,0.4013786315917969,0.4598208963871002,114.09070301055908,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.0001,0.6025429368019104,0.5802911520004272,1440.001953125,86.72216796875,0.9714673161506653,0.6825626492500305,0.40932977199554443,0.4689878821372986,127.36423635482788,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.0001,0.660878598690033,0.6192764639854431,1627.68115234375,92.52625274658203,0.9763674736022949,0.6879222989082336,0.4270303249359131,0.4813906252384186,139.28612971305847,L,relu,4,0.3
ETTh1,tsmixer,336,192,0.0001,0.478529691696167,0.4833481013774872,905.51220703125,69.62073516845703,0.8895330429077148,0.6493832468986511,0.38321182131767273,0.44228073954582214,78.43054032325745,L,relu,2,0.5
weather,tsmixer,336,192,0.0005,0.19391052424907684,0.2630574703216553,981.6913452148438,47.51570129394531,0.4331575334072113,0.32773512601852417,0.46732473373413086,0.3640592396259308,508.6518714427948,L,relu,4,0.3
weather,tsmixer,336,192,0.001,0.1987115889787674,0.27471092343330383,834.8997192382812,50.02858352661133,0.43569251894950867,0.33777907490730286,0.4355340003967285,0.34297123551368713,560.0124583244324,L,relu,4,0.3
weather,tsmixer,336,192,0.005,0.20412611961364746,0.2784648537635803,987.4752807617188,49.789459228515625,0.449870228767395,0.3520582914352417,0.5304210782051086,0.3839668035507202,463.0871169567108,L,relu,4,0.3
weather,tsmixer,336,192,0.0001,0.21602217853069305,0.29000920057296753,816.9302368164062,51.95818328857422,0.44817066192626953,0.3453083336353302,0.4361559748649597,0.35083886981010437,805.0343909263611,L,relu,4,0.05
weather,tsmixer,336,192,0.0001,0.20570027828216553,0.2801845967769623,752.235107421875,50.19572067260742,0.4399460256099701,0.33684757351875305,0.4272361695766449,0.3407372832298279,934.77969622612,L,relu,4,0.1
weather,tsmixer,336,192,0.0001,0.19450712203979492,0.2638528347015381,908.5828857421875,47.51893997192383,0.4340325593948364,0.33252859115600586,0.43187689781188965,0.3357084095478058,1189.5545063018799,L,relu,4,0.5
weather,tsmixer,336,192,0.0001,0.1932031512260437,0.2619372308254242,1005.265625,47.162044525146484,0.4319427013397217,0.32688239216804504,0.4493955969810486,0.3499349355697632,1566.3690280914307,L,relu,6,0.5
